Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coal,OH,"1,269,205","1,159,286","1,229,713","1,243,806","1,272,289","1,324,406","1,420,418","1,405,472","1,478,634","1,556,077","1,571,427","1,490,481","1,561,035","1,622,805","1,642,125","1,619,050","1,653,336","1,669,162","1,622,430","1,668,432","1,528,107","1,534,900","1,392,042","1,321,092","1,361,844","1,389,464","1,431,837","1,433,056","1,474,684","1,468,632","1,425,314","1,413,415","1,416,870","1,431,633","1,386,079","1,379,803","1,447,126","1,407,234","1,450,165","1,382,205","1,428,454","1,362,828","1,396,899","1,443,498","1,391,290","1,481,045","1,450,797","1,463,773","1,438,432","1,267,267","1,355,137","1,222,606","1,019,140","1,104,486","1,057,377","865,714","825,311","810,953"
Coal,OK,"1,826","1,452","1,072","1,685","1,035",697,695,567,465,144,154,164,165,"4,085","4,187",537,"1,541","12,381","43,718","60,391","106,346","157,728","203,812","219,296","230,922","237,168","217,945","240,662","269,419","270,329","278,807","312,747","328,337","355,829","333,445","369,889","373,093","392,437","370,064","360,598","381,089","376,112","391,379","393,790","372,093","397,379","384,418","373,217","391,688","373,271","346,047","378,320","327,089","335,925","336,080","280,748","221,842","198,309"
Coal,OR,"8,943","9,420","8,805","7,455","6,833","7,110","6,521","4,802","3,898","3,950","3,047","3,376","2,240","2,144","3,251","2,673","5,876","5,223","4,672","4,679","12,102","25,826","11,803","9,888","11,814","10,045","2,911","3,679","3,115","6,734","15,658","32,760","40,780","37,131","44,583","20,173","20,261","16,363","36,133","38,604","38,700","43,365","37,751","44,884","36,460","35,624","26,895","45,461","41,408","33,150","42,556","35,135","28,259","38,900","34,238","26,515","19,440","18,723"
Coal,PA,"1,530,508","1,431,872","1,477,609","1,538,471","1,699,047","1,751,318","1,746,453","1,701,151","1,725,890","1,628,975","1,698,980","1,619,609","1,662,309","1,798,616","1,661,359","1,646,695","1,682,817","1,577,975","1,572,452","1,756,262","1,636,051","1,495,944","1,291,496","1,337,526","1,462,314","1,409,068","1,318,385","1,381,080","1,466,212","1,490,936","1,469,705","1,425,228","1,473,154","1,487,022","1,439,646","1,484,091","1,543,719","1,569,642","1,466,042","1,414,957","1,508,091","1,392,203","1,457,349","1,461,986","1,474,310","1,490,836","1,499,292","1,491,907","1,421,091","1,223,937","1,310,670","1,212,984","1,093,178","1,126,118","1,039,161","878,829","734,838","669,540"
Coal,RI,"16,754","15,116","14,953","13,308","11,022","11,461","10,581","6,545","3,297",242,228,211,157,149,954,147,146,117,123,122,165,192,197,172,225,213,705,130,"4,386",679,129,101,123,72,75,74,81,71,59,41,52,50,76,101,76,76,49,39,0,0,0,0,0,0,0,0,0,0
Coal,SC,"96,414","103,498","108,500","118,239","108,707","121,474","132,867","134,348","123,989","131,995","140,118","152,014","174,934","167,908","155,268","140,171","171,042","189,564","192,321","206,761","245,769","266,523","271,483","233,856","244,040","262,653","263,944","295,325","301,780","302,156","289,222","290,951","288,325","329,445","330,813","314,509","352,579","361,385","373,368","402,153","432,195","414,459","404,455","419,663","433,868","431,086","432,220","444,046","445,454","371,981","404,966","366,160","298,572","257,319","305,656","241,217","221,865","192,751"
Coal,SD,"6,707","6,273","6,725","6,221","5,539","5,652","5,239","5,553","5,218","5,503","5,674","5,817","5,309","6,341","7,356","24,282","37,063","35,614","38,551","35,473","36,564","36,204","36,957","30,709","34,414","34,530","29,205","14,564","33,805","34,299","34,882","38,674","36,042","36,371","41,355","37,429","33,538","42,942","41,015","46,304","50,602","44,372","39,957","43,017","43,562","36,952","39,570","33,256","43,098","37,480","39,061","32,112","35,574","34,246","33,062","19,616","26,660","26,114"
Coal,TN,"374,478","354,174","347,170","386,275","336,101","338,853","363,659","351,990","439,263","436,716","403,742","369,984","444,326","532,943","470,336","471,919","561,514","553,721","564,711","542,302","576,894","565,947","470,661","547,105","555,270","599,665","605,739","596,507","610,560","566,938","600,526","565,397","590,306","685,674","622,698","669,028","650,760","680,608","651,838","648,342","705,059","687,352","655,906","621,425","648,005","657,711","677,174","672,766","643,796","477,713","515,464","481,127","423,086","399,768","427,509","370,650","379,775","334,567"
Coal,TX,"24,974","18,203","20,582","19,173","26,232","29,182","27,844","23,523","24,996","25,141","30,767","24,048","50,140","125,909","133,141","196,172","226,342","288,187","418,438","587,642","734,145","858,514","931,065","1,016,758","1,074,868","1,148,998","1,162,745","1,203,925","1,264,113","1,335,906","1,333,671","1,333,449","1,324,063","1,430,676","1,389,409","1,364,800","1,485,577","1,523,201","1,488,589","1,530,426","1,548,184","1,492,977","1,550,325","1,603,971","1,626,029","1,627,863","1,610,301","1,609,155","1,605,925","1,497,854","1,568,060","1,695,239","1,498,818","1,597,357","1,585,961","1,340,422","1,323,111","1,451,978"
Coal,UT,"90,967","81,964","65,575","62,411","71,031","75,449","79,119","72,396","73,920","78,445","78,777","78,743","77,580","98,848","107,648","115,740","101,774","132,845","143,943","170,907","168,254","175,686","159,560","160,238","185,637","199,366","188,954","273,790","337,985","349,724","366,842","344,365","363,056","370,982","380,866","361,424","359,984","375,105","396,129","384,060","403,068","384,453","370,551","379,185","399,704","405,546","382,757","391,386","395,878","364,994","356,148","346,181","322,055","355,230","344,054","330,043","269,016","274,816"
